name,jxsi,psc,pp,catsp,cs,cup,pop
Abella de la Conca,57,11,5,3,9,18,170
Abrera,1685,1275,619,938,1771,453,12125
Àger,271,14,25,10,18,45,594
Agramunt,1940,161,185,104,252,152,5515
Aguilar de Segarra,121,0,4,5,4,18,251
Agullana,298,26,15,16,31,80,826
Aiguafreda,1048,108,84,83,82,159,2498
Aiguamúrcia,299,50,31,32,66,57,909
Aiguaviva,341,15,15,16,47,43,783
Aitona,794,58,177,22,61,47,2415
"Alamús, els",329,23,23,19,39,21,769
Alàs i Cerc,139,20,8,6,8,21,356
"Albagés, l'",142,35,21,13,29,21,419
Albanyà,55,6,1,2,0,21,155
Albatàrrec,592,83,66,59,181,87,2139
Albesa,651,42,92,17,63,70,1608
"Albi, l'",322,16,50,18,37,59,834
Albinyana,424,285,136,110,292,58,2335
"Albiol, l'",112,22,21,24,46,27,458
Albons,293,21,10,16,36,59,727
Alcanar,2584,458,466,205,376,417,9637
Alcanó,117,1,2,6,6,18,242
Alcarràs,2270,268,293,154,461,233,9252
Alcoletge,870,158,91,92,272,96,3270
Alcover,1422,251,160,136,486,254,5131
"Aldea, l'",1184,227,193,75,162,90,4376
Aldover,263,66,62,28,21,49,940
"Aleixar, l'",297,27,37,18,40,75,891
Alella,3149,382,481,264,852,469,9651
Alfara de Carles,88,37,34,5,17,12,395
Alfarràs,654,337,138,54,166,111,3003
Alfés,162,8,8,4,5,22,315
Alforja,593,82,49,76,120,118,1859
Algerri,198,3,23,13,11,22,423
Alguaire,1062,138,91,42,57,118,3093
Alins,142,6,5,5,2,25,286
Alió,168,26,19,15,13,27,432
Almacelles,1462,343,303,221,497,233,6699
Almatret,170,6,26,6,8,15,333
Almenar,1149,153,100,57,135,185,3547
Almoster,586,35,46,27,117,101,1396
Alòs de Balaguer,80,0,1,3,1,6,126
Alp,610,52,25,12,91,75,1661
Alpens,175,3,0,4,1,29,300
Alpicat,1918,241,240,134,576,328,6297
Altafulla,1297,253,202,253,532,243,4988
Alt Àneu,194,12,7,14,4,48,416
Amer,1130,62,55,27,36,103,2281
"Ametlla del Vallès, l'",2966,291,288,261,659,379,8283
"Ametlla de Mar, l'",1981,243,224,179,405,208,7303
"Ampolla, l'",980,105,150,65,187,96,3479
Amposta,5446,1047,646,598,1272,852,21197
Anglès,2038,132,104,86,150,231,5606
Anglesola,578,40,42,22,30,58,1360
Arbeca,905,124,63,26,47,178,2389
"Arboç, l'",841,595,135,223,496,254,5515
Arbolí,75,0,0,1,3,21,105
Arbúcies,2493,134,99,96,117,342,6481
Arenys de Mar,4758,780,687,493,909,803,15307
Arenys de Munt,3312,348,282,235,457,513,8654
Argelaguer,186,8,2,13,5,65,425
Argençola,97,1,8,0,4,27,212
"Argentera, l'",82,3,2,4,3,18,146
Argentona,3590,674,595,389,1066,797,11963
"Armentera, l'",395,25,21,10,11,72,901
Arnes,253,15,12,8,6,17,474
Arres,11,3,3,0,18,1,73
Arsèguel,38,0,0,1,1,9,81
Artés,2004,254,153,144,337,338,5661
Artesa de Lleida,638,42,23,39,64,78,1508
Artesa de Segre,1342,43,123,30,96,98,3656
Ascó,577,98,78,29,111,81,1654
Aspa,57,25,20,7,11,19,215
"Avellanes i Santa Linya, les",233,7,25,6,7,27,479
Avià,1127,31,33,41,42,176,2258
Avinyó,1055,74,54,23,28,122,2275
Avinyonet del Penedès,604,73,50,49,108,80,1675
Avinyonet de Puigventós,513,64,74,45,143,48,1581
Badalona,28782,17022,26642,13335,19827,7621,217210
Badia del Vallès,728,2075,840,1359,1912,379,13553
Bagà,898,154,51,48,117,156,2225
Baix Pallars,140,25,3,20,8,43,361
Balaguer,4115,835,571,350,970,583,16485
Balenyà,1300,238,111,99,186,201,3724
Balsareny,1032,227,93,176,276,197,3343
Banyeres del Penedès,589,285,116,151,396,116,3057
Banyoles,7270,407,370,270,505,1064,19343
Barbens,280,19,24,8,42,37,875
Barberà de la Conca,165,21,4,11,32,34,519
Barberà del Vallès,3829,3432,1686,2967,5223,1238,32550
Barcelona,326376,100806,80529,85841,155361,87774,1602386
"Baronia de Rialb, la",119,10,9,5,7,10,235
Bàscara,405,32,32,16,35,68,949
Bassella,102,2,14,5,8,6,244
Batea,550,143,183,55,71,73,1975
Bausen,11,5,8,1,6,2,49
Begues,1937,297,260,332,696,403,6620
Begur,1098,244,135,128,366,141,3994
Belianes,209,16,36,13,7,55,555
Bellaguarda,154,19,7,7,8,12,307
Bellcaire d'Empordà,295,30,6,12,15,43,650
Bellcaire d'Urgell,629,30,37,29,41,55,1305
Bell-lloc d'Urgell,845,78,72,45,135,64,2351
Bellmunt del Priorat,97,29,4,13,9,35,307
Bellmunt d'Urgell,78,3,8,4,8,14,192
Bellprat,32,5,0,4,6,6,78
Bellpuig,1577,113,120,73,146,334,4956
Bellvei,365,167,132,93,262,85,2174
Bellver de Cerdanya,790,86,48,26,89,139,2075
Bellvís,1015,40,38,32,62,93,2342
Benavent de Segrià,537,52,49,26,95,78,1516
Benifallet,257,91,36,12,25,34,703
Benissanet,472,36,39,6,38,31,1247
Berga,6158,617,490,361,423,1117,16456
Besalú,1145,86,35,36,32,128,2400
Bescanó,2219,114,76,102,158,271,4874
Beuda,66,12,0,3,2,29,200
Bigues i Riells,2337,440,415,455,935,411,8854
Biosca,90,5,5,6,12,6,197
"Bisbal de Falset, la",115,4,5,0,2,8,216
"Bisbal del Penedès, la",738,268,128,166,410,152,3495
"Bisbal d'Empordà, la",3125,549,244,210,380,679,10761
Biure,77,9,21,5,9,20,245
Blancafort,196,2,4,14,3,36,413
Blanes,6682,2845,1669,2585,4127,1428,39293
Boadella i les Escaules,97,5,12,5,10,25,248
Bolvir,157,5,12,3,13,11,373
Bonastre,194,25,13,35,39,22,622
"Bòrdes, Es",34,28,16,16,39,16,234
Bordils,671,36,41,21,36,121,1690
"Borges Blanques, les",2315,174,139,93,251,275,6088
"Borges del Camp, les",767,76,52,46,123,101,2077
Borrassà,339,13,9,11,40,37,728
Borredà,221,21,7,0,9,52,540
Bossòst,112,160,111,18,140,24,1140
Bot,247,55,21,11,14,36,630
Botarell,365,50,38,45,59,45,1100
Bovera,155,7,5,4,3,4,290
Bràfim,245,30,39,13,34,36,660
Breda,1540,166,98,75,151,258,3751
"Bruc, el",539,96,71,83,158,190,1991
"Brull, el",128,0,4,4,5,22,263
Brunyola,188,0,2,3,14,25,391
Cabacés,153,4,10,4,5,18,326
Cabanabona,36,0,7,2,2,3,88
Cabanelles,88,2,6,4,6,24,243
Cabanes,276,25,48,12,89,44,921
"Cabanyes, les",338,51,36,29,56,63,961
Cabó,44,3,2,0,3,5,98
Cabra del Camp,281,76,40,36,97,59,1115
Cabrera d'Anoia,220,160,83,116,93,64,1363
Cabrera de Mar,1769,174,194,93,340,230,4525
Cabrils,2580,200,225,142,623,342,7197
Cadaqués,843,71,24,69,116,81,2820
Calaf,1171,156,136,97,103,128,3475
Calafell,3610,1763,1222,1039,2717,792,24333
Calders,476,28,28,12,13,63,949
Caldes de Malavella,2104,345,299,287,571,317,7130
Caldes de Montbui,4871,1127,670,694,1422,930,17156
Caldes d'Estrac,825,174,91,87,167,133,2738
Calella,4886,914,748,513,1147,744,18307
Calldetenes,1220,49,59,31,46,137,2429
Callús,749,82,37,60,89,103,1985
Calonge,2756,476,293,257,773,429,10541
Calonge de Segarra,104,4,3,2,4,8,202
Camarasa,431,20,27,22,50,57,911
Camarles,1030,215,111,62,97,77,3514
Cambrils,5682,1648,1599,1058,4251,911,33301
Camós,388,12,19,12,12,30,686
Campdevànol,1397,151,85,95,234,210,3395
Campelles,78,0,4,1,0,8,132
Campins,193,7,8,20,15,48,521
Campllong,242,9,12,1,24,28,515
Camprodon,1018,113,59,50,61,133,2359
Canejan,15,20,14,2,8,3,102
Canet d'Adri,342,13,12,16,19,68,644
Canet de Mar,4370,700,683,496,977,738,14123
"Canonja, la",616,886,305,303,970,172,5807
Canovelles,1649,1637,784,752,2130,354,15954
Cànoves i Samalús,665,238,215,155,324,174,2863
Cantallops,126,14,4,7,6,17,324
Canyelles,824,331,213,236,531,174,4345
Capafonts,50,1,6,0,6,21,114
Capçanes,202,9,15,11,9,41,411
Capellades,1374,442,253,175,437,502,5284
Capmany,200,22,13,23,24,23,612
Capolat,40,0,1,7,1,9,88
Cardedeu,5174,922,635,707,1421,1384,17698
Cardona,1511,406,217,115,390,212,4921
Carme,356,26,20,13,22,38,817
Caseres,69,12,30,4,25,13,267
Cassà de la Selva,3830,331,169,151,509,426,9922
Casserres,778,31,56,23,21,128,1569
Castellar de la Ribera,85,0,3,1,1,10,149
Castellar del Riu,104,3,2,0,4,6,171
Castellar del Vallès,6358,1733,816,1272,2427,1327,23440
Castellar de n'Hug,90,0,3,2,2,17,159
Castellbell i el Vilar,925,356,168,152,255,139,3624
Castellbisbal,2452,988,507,800,1750,508,12434
Castellcir,273,13,14,24,43,45,718
Castelldans,316,31,70,23,63,51,976
Castelldefels,8319,4203,4203,3378,8747,1670,63255
Castell de l'Areny,36,0,0,2,0,13,75
Castell de Mur,100,4,4,8,6,11,163
Castellet i la Gornal,532,187,97,128,196,121,2237
Castellfollit de la Roca,420,38,22,20,21,40,1013
Castellfollit del Boix,193,9,8,13,15,41,428
Castellfollit de Riubregós,89,0,7,5,8,9,177
Castellgalí,446,156,102,133,187,80,2022
Castellnou de Bages,439,65,37,38,127,61,1241
Castellnou de Seana,340,24,19,13,15,33,740
Castelló de Farfanya,240,17,16,7,12,32,565
Castelló d'Empúries,1595,279,408,171,596,259,11473
Castellolí,322,16,9,11,11,25,571
Castell-Platja d'Aro,2211,538,335,216,927,234,10721
Castellserà,480,45,26,12,30,62,1083
Castellterçol,1017,98,55,56,72,156,2400
Castellvell del Camp,1004,104,108,49,348,158,2869
Castellví de la Marca,631,56,44,35,52,108,1589
Castellví de Rosanes,457,122,87,114,185,71,1760
"Catllar, el",947,298,173,220,526,216,4222
Cava,34,0,1,0,0,4,60
